rank,dimension,data_status,evidence_scope,key,before_clicks,after_clicks,click_delta,before_impressions,after_impressions,impression_delta,before_position,after_position,position_delta
1,country,partial,matched-retained-segment,isr,0,0,0,4,1,-3,1.5,30,28.5
2,country,partial,matched-retained-segment,usa,0,0,0,2,1,-1,1.5,1,-0.5
