rank,dimension,data_status,key,retained_in,clicks,impressions,position,reason
1,page,partial,https://beta.kalfa.me/contact,after,0,2,18,not-retained-in-other-window
2,page,partial,https://beta.kalfa.me/faq,after,0,1,3,not-retained-in-other-window
