metric,direction,significant,baseline_start,baseline_end,comparison_start,comparison_end,baseline_mean,comparison_mean,baseline_total,comparison_total,percent_change,z_score
clicks,normal,false,2026-06-06,2026-08-27,2026-08-28,2026-09-03,0,0,0,0,0,
impressions,normal,false,2026-06-06,2026-08-27,2026-08-28,2026-09-03,0.273,0,9,0,-100,-1.17
