rank,dimension,data_status,evidence_scope,key,before_clicks,after_clicks,click_delta,before_impressions,after_impressions,impression_delta,before_position,after_position,position_delta
1,page,partial,matched-retained-segment,https://beta.kalfa.me/,0,0,0,6,2,-4,1.5,3,1.5
2,page,partial,matched-retained-segment,https://beta.kalfa.me/cookies,0,0,0,1,1,0,6,2,-4
3,page,partial,matched-retained-segment,https://beta.kalfa.me/privacy,0,0,0,1,1,0,4,4,0
4,page,partial,matched-retained-segment,https://beta.kalfa.me/terms,0,0,0,1,1,0,5,5,0
